Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
7/4/2019,2.2,-3,47,-12,4,3.5,17.5,-40,30,-1,44,-2,-2,14,60,-31,3,78
7/5/2019,0.6,22,21,-9,-3,-2,29,32,57,7,7,-2.5,29,-14,20,22,12,-32
7/8/2019,-2.9,-28.5,-1,-13,-1,-2.5,0.5,-225,0,-15,-1,-30.5,-109,-131,-180,-74,-70,-196
7/9/2019,2.2,-18,27,-5,-1,-3.5,15.5,-164,-27,1,-1,16.5,-1,-9,40,-50,66,42
7/10/2019,1,5.5,-7,10,-9,-2,7,-60,-22.5,-29,-16,1.5,13,58,-10,60,38,84
7/11/2019,2.6,0,-43,-1,-7,2.5,-15.5,-133,-19.5,-5,69,-10,11,21,10,-33,-7,-22
7/12/2019,-0.9,-3.5,45,4,-4,-0.5,3,-39,5.5,-14,-31,-12,-23,-86,-40,-50,13,38
7/16/2019,-1.3,-12,90,-7,-3,-2,-10.5,47,-37,-3,-24,-7.5,-47,-22,-50,-75,-67,109
7/17/2019,-6.1,8,27,2,1,-2,-30.5,-65,-35,-3,-86,8.5,14,64,10,-3,-92,190
7/18/2019,-17.5,-21.5,-52,-7,-8,-25,-54.5,-166,-55.5,-41,-89,-34,-87,-86,-90,-109,-63,-15
7/19/2019,14.1,20,146,10,10,17,56.5,33,43.5,70,45,45,55,102,210,84,75,201
7/22/2019,2.1,-1,-30,5,3,-1.5,-6,76,-5,11,-32,-15.5,6,31,-30,-92,-44,-201
7/23/2019,7.5,13.5,9,5,3,2.5,12.5,43,16,14,-9,11.5,5,-1,50,35,11,0
7/24/2019,7.4,12.5,97,-1,-1,6,36,21,1.5,12,7,-18.5,-4,-66,-50,-30,13,-40
7/25/2019,-16,9,25,-3,-10,2,-7.5,-103,2.5,0,-23,-9,-31,-90,-70,-48,25,-66
7/26/2019,-24.6,-10,-71,-15,-10,-16.5,-57.5,-112,-59,-50,-11,-2,19,104,330,-21,6,7
7/29/2019,-20.9,-3,-3,-9,-10,-2.5,-22,-4,-42,-14,-27,-5.5,1,-54,150,-16,15,64
7/30/2019,7.5,-1.5,32,-2,14,5.5,8.5,-34,-5.5,38,7,3.5,19,4,210,-2,22,24
7/31/2019,-16.8,-20,-156,36,-8,-19.5,-61.5,-18,-32.5,5,-23,26.5,63,-102,-90,110,-16,403
8/1/2019,-1.4,-0.5,68,8,0,-6.5,12,-70,-15.5,7,269,-35,-12,7,-60,-110,10,73
8/2/2019,-17.7,-38.5,-163,-30,-27,-71,-109.5,-199,-71,-76,-37,-64.5,-29,-107,-100,-190,-12,8
8/5/2019,-29.8,4.5,-43,20,-15,-42.7,-47,-93,95.5,-54,-80,-31.5,-82,-177,-40,-131,-38,34
